"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","XREF"
"1","L78L33ACUTR","L78L33ACUTR","SOT89-4","U4","STMicroelectronics","DK","497-1200-1-ND","IC REGULATOR POS 3.3V SOT89","REF82"
"1","L7805ACD2T","L7805ACD2T","D2PAK","U11","STMicroelectronics","DK","497-1440-5-ND","IC REG POS 1.5A 5V PREC D2PAK","REF83"
"1","LM324D","LM324D","SO14","U5","Texas Instruments","DK","296-1390-5-ND","IC OPAMP GP 1.2MHZ QUAD 14SOIC","REF84"
"1","MAX323CSA","MAX323CSA+","SO08","U7","Maxim Integrated Products","DK","MAX323CSA+-ND","IC SWITCH DUAL SPST 8SOIC","REF29"
"1","MAX3243IPWR","MAX3243ECPWR","TSSOP28","U3","Texas Instruments","DK","296-19808-1-ND","IC RS232 3V-5.5V DRVR 28-TSSOP","REF85"
"1","MEGA1281/2561","ATMEGA1281-16AU","TQFP64-AEB","U2","Atmel","DK","ATMEGA1281-16AU-ND","MCU AVR 128K FLASH 16MHZ 64TQFP","REF2"
"1","MF-SM030-2","MF-SM030-2","SMD-7555","PF1","Bourns Inc.","DK","MF-SM030CT-ND","FUSE RESETTABLE .30A 60V SMD","REF4"
"2","MMBTA05LT1G","MMBTA05LT1G","SOT23","Q1, Q5","ON Semiconductor","DK","MMBTA05LT1GOSCT-ND","TRANS DRIVER SS NPN 60V SOT23","REF37"
"1","MX828DS","MX828DW","SSOP24","U8","CML Electronics","MX","MX828DW","PL ENCODER/DECODER (DISCONTINUED!!!)","REF7"
"1","NCP21WF104J03RA","NCP21WF104J03RA","R0805","R22","Murata Electronics North America","DK","490-2451-1-ND","THERMISTOR 100K OHM NTC 0805 SMD","REF33"
"1","RED","5350T5","LED535","D11","Chicago Miniature Lighting","DK","L20085-ND","LED GREEN T-3/4 RT ANG PCB","REF6"
"3","S1GB-13","RS1GB-13-F","SMB","D5, D6, D9","Diodes Inc","DK","RS1GB-FDICT-ND","DIODE FAST RECOVERY 1A 400V SMB","REF12"
"1","TL084D","TLC084CD","SO14","U10","Texas Instruments","DK","296-2423-5-ND","IC OPAMP GP 10MHZ QUAD 14SOIC","REF86"
"1","ZXMN6A07Z","ZXMN6A07ZTA","SOT89","Q2","Diodes/Zetex","DK","ZXMN6A07ZCT-ND","MOSFET N-CH 60V 1.9A SOT-89","REF13"
